  SEQUENCE:
interface_delta_X ligand_rms_no_super_X description
-18.430 4.712 c18_22_c18_0073_0001
-18.421 1.456 c18_33_c18_0719_0001
-18.417 1.920 c18_11_c18_1032_0001
-18.416 3.873 c18_33_c18_0422_0001
-18.416 6.499 c18_22_c18_0116_0001
-18.403 6.421 c18_44_c18_0081_0001
-18.398 1.870 c18_11_c18_1197_0001
-18.397 1.623 c18_66_c18_0897_0001
-18.395 5.490 c18_33_c18_0774_0001
-18.395 6.118 c18_22_c18_0837_0001
-18.391 1.479 c18_11_c18_0937_0001
-18.388 6.093 c18_44_c18_0688_0001
-18.385 6.509 c18_11_c18_1044_0001
-18.378 6.660 c18_11_c18_1159_0001
-18.370 7.860 c18_22_c18_0323_0001
-18.367 5.069 c18_55_c18_1127_0001
-18.364 10.101 c18_77_c18_1110_0001
-18.364 6.836 c18_11_c18_0788_0001
-18.360 7.863 c18_66_c18_0903_0001
-18.357 1.716 c18_11_c18_0115_0001
-18.352 1.491 c18_66_c18_0455_0001
-18.351 6.419 c18_33_c18_0808_0001
-18.347 5.311 c18_33_c18_0803_0001
-18.344 1.280 c18_88_c18_0586_0001
-18.343 6.119 c18_33_c18_0990_0001
-18.329 1.792 c18_11_c18_0111_0001
-18.312 6.883 c18_33_c18_0970_0001
-18.309 1.647 c18_88_c18_1198_0001
-18.308 7.367 c18_22_c18_1013_0001
-18.307 1.207 c18_55_c18_0246_0001
-18.305 1.835 c18_11_c18_0507_0001
-18.304 1.150 c18_55_c18_1089_0001
-18.302 1.197 c18_77_c18_0500_0001
-18.302 6.872 c18_66_c18_0947_0001
-18.295 6.385 c18_77_c18_0262_0001
-18.282 6.191 c18_11_c18_0336_0001
-18.275 4.567 c18_66_c18_0830_0001
-18.270 6.307 c18_44_c18_0009_0001
-18.265 1.562 c18_22_c18_1090_0001
-18.263 1.331 c18_11_c18_1021_0001
-18.259 1.418 c18_22_c18_0353_0001
-18.252 2.602 c18_22_c18_0623_0001
-18.250 6.501 c18_11_c18_0983_0001
-18.227 1.445 c18_11_c18_0377_0001
-18.224 6.830 c18_22_c18_1246_0001
-18.213 1.309 c18_33_c18_0638_0001
-18.210 1.765 c18_11_c18_0868_0001
-18.205 1.629 c18_11_c18_0153_0001
-18.205 2.368 c18_33_c18_0402_0001
-18.203 6.633 c18_55_c18_0983_0001
-18.198 6.701 c18_66_c18_1113_0001
-18.190 1.900 c18_66_c18_0056_0001
-18.180 1.182 c18_55_c18_0521_0001
-18.180 1.658 c18_55_c18_0193_0001
-18.179 0.983 c18_22_c18_0271_0001
-18.175 1.310 c18_44_c18_0764_0001
-18.173 1.757 c18_55_c18_0337_0001
-18.172 5.640 c18_33_c18_0079_0001
-18.169 6.561 c18_88_c18_0913_0001
-18.162 6.309 c18_44_c18_0964_0001
-18.158 1.666 c18_11_c18_0092_0001
-18.156 1.530 c18_22_c18_0252_0001
-18.154 2.794 c18_66_c18_0444_0001
-18.151 9.042 c18_55_c18_1085_0001
-18.150 1.222 c18_22_c18_0186_0001
-18.150 1.569 c18_22_c18_0660_0001
-18.140 6.763 c18_11_c18_0575_0001
-18.131 4.581 c18_66_c18_0366_0001
-18.130 1.424 c18_88_c18_0134_0001
-18.128 1.710 c18_11_c18_0557_0001
-18.127 6.112 c18_44_c18_0221_0001
-18.124 1.282 c18_55_c18_0545_0001
-18.122 1.559 c18_44_c18_0103_0001
-18.120 2.058 c18_22_c18_0027_0001
-18.112 1.866 c18_77_c18_0534_0001
